epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1116.37,1.06685,0.6876,1.04385,0.93194,0.86822,0.95287,0.66019,1.09894,0.58999,1.07315,0.00897287,0.00897287,0.00897287
85,1129.64,1.07621,0.65183,1.05098,0.94985,0.86822,0.95402,0.67432,1.07995,0.57252,1.06799,0.0089605,0.0089605,0.0089605
86,1143.29,1.07654,0.62718,1.05428,0.94871,0.87855,0.95619,0.68365,1.06772,0.56295,1.07109,0.00894812,0.00894812,0.00894812
87,1157.48,1.06609,0.6414,1.05096,0.9225,0.87664,0.95337,0.66894,1.08511,0.59598,1.08555,0.00893575,0.00893575,0.00893575
88,1170.23,1.05231,0.63854,1.04948,0.94285,0.89018,0.95997,0.68562,1.03914,0.5682,1.05756,0.00892338,0.00892338,0.00892338
89,1183.02,1.05815,0.61348,1.03245,0.95355,0.8753,0.9595,0.68335,1.07163,0.5702,1.0525,0.008911,0.008911,0.008911
90,1196.6,1.05299,0.61974,1.03677,0.9066,0.89276,0.94615,0.66552,1.06764,0.59317,1.07564,0.00889863,0.00889863,0.00889863
91,1210.83,1.03186,0.64347,1.0268,0.92666,0.8876,0.95498,0.67698,1.05632,0.57414,1.0647,0.00888625,0.00888625,0.00888625
92,1224.85,1.02195,0.61606,1.0359,0.92809,0.90039,0.95617,0.68718,1.03862,0.56001,1.0518,0.00887387,0.00887387,0.00887387
93,1238.6,1.01394,0.61409,1.02613,0.93479,0.88899,0.95591,0.68664,1.02953,0.55432,1.04906,0.0088615,0.0088615,0.0088615
94,1251.52,1.06453,0.64123,1.05095,0.92122,0.90642,0.95655,0.70037,1.00999,0.53405,1.04389,0.00884912,0.00884912,0.00884912
95,1265.38,1.03432,0.61577,1.023,0.91051,0.8939,0.9534,0.68517,1.03979,0.56845,1.05302,0.00883675,0.00883675,0.00883675
96,1278.91,1.02611,0.61164,1.02906,0.92444,0.90101,0.95383,0.69325,1.01641,0.553,1.03694,0.00882438,0.00882438,0.00882438
97,1292.09,1.02584,0.62111,1.03102,0.91845,0.90827,0.96064,0.69051,1.0289,0.55472,1.04817,0.008812,0.008812,0.008812
98,1304.95,1.09612,0.67041,1.06677,0.92193,0.88497,0.95316,0.68959,1.02154,0.55929,1.05417,0.00879963,0.00879963,0.00879963
99,1318.48,1.0255,0.62154,1.02914,0.94453,0.87993,0.96016,0.69472,1.03514,0.55263,1.04835,0.00878725,0.00878725,0.00878725
100,1332.14,1.01942,0.59473,1.03376,0.95029,0.89793,0.95947,0.69338,1.02515,0.53707,1.04546,0.00877487,0.00877487,0.00877487
101,1345.44,1.00969,0.61745,1.01989,0.93871,0.89039,0.95638,0.68922,1.03195,0.54943,1.04755,0.0087625,0.0087625,0.0087625
