epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,601.355,1.11666,0.66163,1.05385,0.99676,1,0.995,0.70907,1.00548,0.60055,1.10049,0.0002972,0.0002972,0.0002972
88,608.275,1.12619,0.6779,1.05743,0.94439,0.99908,0.98889,0.71382,0.99108,0.56315,1.05765,0.0002774,0.0002774,0.0002774
89,615.217,1.08974,0.64819,1.04365,0.94234,1,0.98889,0.73519,0.93617,0.55772,1.04351,0.0002576,0.0002576,0.0002576
90,622.175,1.09956,0.65699,1.04833,0.9393,1,0.98222,0.73174,0.90938,0.54665,1.0203,0.0002378,0.0002378,0.0002378
91,629.571,1.05859,0.59829,1.0378,1,0.99776,0.995,0.74751,0.87991,0.55149,0.99199,0.000218,0.000218,0.000218
92,636.546,1.06847,0.59663,1.04667,0.99285,1,0.995,0.74195,0.89721,0.5621,1.0463,0.0001982,0.0001982,0.0001982
93,643.716,1.0581,0.60066,1.04493,0.93074,1,0.98889,0.73269,0.97394,0.55353,1.09128,0.0001784,0.0001784,0.0001784
94,650.822,1.04163,0.58431,1.03899,1,0.96946,0.995,0.7486,1.00551,0.51848,1.10873,0.0001586,0.0001586,0.0001586
95,658.327,1.04622,0.59018,1.04761,0.99509,1,0.995,0.74839,0.97715,0.49082,1.11056,0.0001388,0.0001388,0.0001388
96,665.498,1.06972,0.57728,1.0558,0.9881,1,0.995,0.75229,0.9822,0.51891,1.09363,0.000119,0.000119,0.000119
97,672.595,1.04295,0.57327,1.02507,0.98673,1,0.995,0.75221,0.98417,0.50952,1.09425,9.92e-05,9.92e-05,9.92e-05
98,679.717,1.03134,0.54761,1.02891,0.99638,1,0.995,0.734,0.99817,0.51087,1.09136,7.94e-05,7.94e-05,7.94e-05
99,686.72,1.06286,0.6041,1.05908,0.99309,1,0.995,0.74715,0.97406,0.51602,1.08782,5.96e-05,5.96e-05,5.96e-05
100,693.73,1.03809,0.55075,1.0318,0.99091,1,0.995,0.74366,0.97151,0.50599,1.0828,3.98e-05,3.98e-05,3.98e-05
